1,Debbie Wasserman Schultz,DWStweets,D,223000
2,Patrick Leahy,SenatorLeahy,D,18000
3,Harry Reid,SenatorReid,D,155000
4,Dick Durbin,SenatorDurbin,D,36000
5,Steny Hoyer,WhipHoyer,D,38000
6,Peter Shumlin,GovPeterShumlin,D,8000
7,Chuck Schumer,SenSchumer,D,69000
8,Patty Murray,PattyMurray,D,20000
9,Michael Bennet,SenBennetCO,D,14000
10,Maria Cantwell,CantwellPress,D,7500
11,Tammy Baldwin,SenatorBaldwin,D,7000
12,Mark Begich,SenatorBegich,D,16000
13,Michael Bennet,SenBennetCO,D,15000
14,Richard Blumenthal,SenBlumenthal,D,15000
15,Barbara Boxer,SenatorBoxer,D,39500
16,Sherrod Brown,SenSherrodBrown,D,35500
17,Maria Cantwell,CantwellPress,D,7800
18,Joe Donnelly,SenDonnelly,D,10000
19,Dianne Feinstein,SenFeinstein,D,27500
20,Al Franken,alfranken,D,160000
21,Reince Priebus,Reince,R,209000
22,Jeff Sessions,SenatorSessions,R,27000
23,Thomas Massie,RepThomasMassie,R,8400
24,Johnny Isakson,SenatorIsakson,R,13500
25,Eric Cantor,GOPLeader,R,179000
26,Kevin McCarthy,GOPWhip,R,43000
27,John Thune,SenJohnThune,R,22500
28,John Barrasso,SenJohnBarrasso,R,13000
29,Roy Blunt,RoyBlunt,R,29000
30,Jerry Moran,JerryMoran,R,14000
31,Lamar Alexander,SenAlexander,R,19000
32,Kelly Ayotte,KellyAyotte,R,27000
33,John Barrasso,SenJohnBarrasso,R,13500
34,Roy Blunt,RoyBlunt,R,29000
35,John Boozman,JohnBoozman,R,18000
36,Richard Burr,SenatorBurr,R,24500
37,Saxby Chambliss,SaxbyChambliss,R,9500
38,Tom Coburn,TomCoburn,R,73500
39,Thad Cochran,SenThadCochran,R,8000
40,Bob Corker,SenBobCorker,R,24500
